# Saving: 0.02 s

time,angle,angleD,angleDD,angle_cos,angle_sin,position,positionD,positionDD,Q,Q_applied,u,target_position,target_equilibrium,L,Q_update_time,D_angle_sin,D_angle_cos,D_angleD,D_position,D_positionD,Q_applied_-1
0.04,0.8738868,1.8638173,12.674133,0.6418508,0.7668295,-0.10351492,0.03468163,-6.478075,0.07900563,-0.75653636,-1.9821252,-0.10084645,-1.0,0.1975,0.015889876,1.2485117,-1.5535027,15.460342,-0.018845499,-5.611405,0.18640181
0.06,0.91375,2.1730242,32.87844,0.6107808,0.7917997,-0.10389183,-0.07754647,1.5096271,0.04125361,-0.06570681,-0.17215183,-0.09999423,-1.0,0.1975,0.01643225,1.458177,-1.9899905,32.601585,-0.06551072,1.2248195,-0.75653636
0.08,0.963096,2.8250558,17.819239,0.57098097,0.82096326,-0.10520204,-0.05305008,-5.8148108,-0.0085630305,-0.82388765,-2.1585855,-0.09882593,-1.0,0.1975,0.016756,1.6376284,-2.512088,20.328363,-0.10137296,-5.088557,-0.06570681
0.1,1.0230798,3.2316232,21.1945,0.5207392,0.85371584,-0.1072295,-0.15482123,-5.274646,-0.06922296,-0.9339719,-2.4470062,-0.097355895,-1.0,0.1975,0.01650025,1.6864005,-2.9911704,23.4052,-0.19887802,-4.6572022,-0.82388765
0.12,1.0917695,3.699727,35.600388,0.4609158,0.88744384,-0.11120706,-0.24796526,1.5681272,-0.117647514,-0.28966442,-0.7589207,-0.09559843,-1.0,0.1975,0.017505124,1.707053,-3.6369452,35.36293,-0.23592818,1.1861718,-0.9339719
0.14,1.1721438,4.4069858,32.711376,0.3881769,0.9215849,-0.115925625,-0.22424182,-0.93419236,-0.180979,-0.4871794,-1.27641,-0.09356786,-1.0,0.1975,0.017014166,1.6196493,-4.4150004,33.283382,-0.23306762,-1.0152141,-0.28966442
0.16,1.2662327,5.0726533,31.109787,0.2998769,0.9539779,-0.12058698,-0.2445461,-3.6430712,-0.24784984,-0.7862012,-2.059847,-0.09127852,-1.0,0.1975,0.01630254,1.3303958,-5.1893234,32.405575,-0.27600586,-3.4068692,-0.4871794
0.18,1.373427,5.720765,41.350086,0.19609037,0.9805858,-0.1261071,-0.31268352,6.8975606,-0.27095076,0.42256543,1.1071213,-0.088744715,-1.0,0.1975,0.0159365,0.8275332,-6.0233536,39.701588,-0.2572455,5.685905,-0.7862012
0.2,1.4951007,6.5147967,36.312496,0.075623326,0.9971365,-0.131252,-0.19896545,-1.6506753,-0.380432,-0.3024169,-0.79233223,-0.085980766,-1.0,0.1975,0.016972167,0.049614917,-6.8384995,36.751015,-0.21451865,-1.7808158,0.42256543
0.22,1.6319811,7.249817,37.14972,-0.06114664,0.9981288,-0.13554238,-0.23458175,-1.5797813,-0.37929243,-0.25927275,-0.6792946,-0.08300101,-1.0,0.1975,0.016579958,-1.0352405,-7.5070367,37.351784,-0.24966006,-1.7367761,-0.3024169
0.24,1.7836882,7.9968524,38.837254,-0.21128735,0.97742397,-0.14053558,-0.26931727,-3.573175,-0.3020061,-0.4589066,-1.2023352,-0.07981975,-1.0,0.1975,0.016297832,-2.4349606,-7.9741254,38.951286,-0.30098116,-3.4786634,-0.25927275
0.26,1.9506341,8.775878,33.671234,-0.37076983,0.92872477,-0.1465552,-0.33889052,0.31379238,-0.1686111,-0.02805993,-0.07351701,-0.07645132,-1.0,0.1975,0.01591679,-4.10865,-8.076832,32.733612,-0.33747312,0.07002499,-0.4589066
0.28,2.1321192,9.430551,27.01645,-0.53230655,0.8465517,-0.15330467,-0.33749002,1.9784236,0.003236318,0.21300636,0.5580766,-0.072910026,-1.0,0.1975,0.016649917,-5.9005976,-7.6348443,25.162302,-0.32106918,1.7457998,-0.02805993
0.3,2.325405,9.933797,23.349297,-0.6850035,0.7285397,-0.15972605,-0.302574,1.2464061,0.22210562,0.17631641,0.46194896,-0.06921021,-1.0,0.1975,0.016289791,-7.6354814,-6.628293,20.31333,-0.2909946,1.339042,0.21300636
0.32,2.5279734,10.340063,-31.34664,-0.81756926,0.5758302,-0.16554594,-0.2757932,16.821898,0.44391832,1.7688974,4.634511,-0.06536618,-1.0,0.1975,0.015826626,-8.742091,-4.9256926,-32.504444,-0.13213001,15.396335,0.17631641
0.34,2.7289972,9.689974,3.5920432,-0.91608316,0.4009883,-0.16818854,0.032133676,3.1075833,0.6904159,0.7030005,1.8418612,-0.061392263,-1.0,0.1975,0.016079918,-9.207163,-3.0061438,-0.4814622,0.061057474,3.2911596,1.7688974
0.36,2.9230113,9.680345,-10.005695,-0.97620606,0.21684495,-0.16696739,0.0979569,4.733874,0.92972684,0.82031095,2.1492145,-0.057302777,-1.0,0.1975,0.016020333,-9.485266,-1.17128,-13.403285,0.14055906,4.727809,0.7030005
0.38,3.1144495,9.412279,0.29928085,-0.99963164,0.02713982,-0.16415621,0.19251299,0.050503884,1.0,0.374332,0.98074985,-0.053112045,-1.0,0.1975,0.01643325,-9.350034,0.62460566,-5.2755327,0.1965395,0.693303,0.82031095
0.4,-2.9810429,9.306768,-44.935574,-0.9871395,-0.15986095,-0.16022542,0.20637906,10.261354,1.0,1.2355665,3.237184,-0.048834387,-1.0,0.1975,0.015498667,-8.625428,2.1995118,-42.910713,0.29238936,9.08841,0.374332
0.42,-2.802778,8.448555,-8.774737,-0.9431493,-0.33236936,-0.15437764,0.3881471,-1.1374513,1.0,0.35918075,0.9410535,-0.044484124,-1.0,0.1975,0.015637709,-7.6024656,3.4156513,-13.368885,0.3810128,-0.5902153,1.2355665
0.44,-2.635894,8.181177,-19.942863,-0.87483627,-0.48441875,-0.14675738,0.37634277,0.43486965,1.0,0.41073388,1.0761228,-0.040075578,-1.0,0.1975,0.016237168,-6.649315,4.4095435,-22.576153,0.38106868,0.56645393,0.35918075
0.46,-2.476153,7.729654,-38.28777,-0.78664535,-0.6174051,-0.139136,0.38767186,4.974589,1.0,0.868239,2.274786,-0.035623074,-1.0,0.1975,0.015955126,-5.4563127,4.9756007,-37.228237,0.42825457,4.206919,0.41073388
0.48,-2.3283324,6.98509,-42.837654,-0.68713343,-0.72653127,-0.13057092,0.47181016,5.8964972,1.0,1.146893,3.0048597,-0.031140927,-1.0,0.1975,0.017131543,-4.2119718,5.0884786,-40.917206,0.51940393,4.900733,0.868239
0.5,-2.196125,6.166745,-45.011444,-0.5853638,-0.81077075,-0.120182835,0.5698249,6.5081387,1.0,1.4498618,3.7986376,-0.026643462,-1.0,0.1975,0.01662325,-3.1024814,4.8661084,-42.780727,0.6222615,5.3948784,1.146893
0.52,-2.080641,5.3111315,-24.116673,-0.48804173,-0.8728203,-0.107737616,0.67772233,-4.6900053,1.0,0.42775697,1.1207232,-0.022145,-1.0,0.1975,0.016407333,-2.250336,4.553066,-26.473087,0.63834506,-4.1797223,1.4498618
0.54,-1.9790207,4.7816687,-31.791988,-0.39698023,-0.9178271,-0.09497069,0.5941277,-1.7672526,1.0,0.647454,1.6963295,-0.017659862,-1.0,0.1975,0.015895458,-1.5953169,4.1960263,-32.695015,0.5785992,-1.6997265,0.42775697
0.56,-1.8892094,4.127769,-45.492405,-0.31305978,-0.94973344,-0.083398715,0.5601332,8.313829,0.999777,1.8261684,4.784561,-0.013202369,-1.0,0.1975,0.016057124,-1.0344604,3.5823767,-43.491585,0.62788934,7.031957,0.647454
0.58,-1.8146173,3.2579381,-31.583149,-0.24141231,-0.9704226,-0.07084094,0.7007722,-5.17932,0.8674469,0.53162086,1.3928466,-0.008786843,-1.0,0.1975,0.016710168,-0.63048774,2.8990107,-32.743305,0.65707767,-4.645964,1.8261684
0.6,-1.7552729,2.6030707,-35.645245,-0.18343198,-0.9830324,-0.05769936,0.60785276,-1.6073594,0.74417514,0.82562006,2.1631246,-0.004427605,-1.0,0.1975,0.016094457,-0.36706662,2.250649,-35.947536,0.59387016,-1.5164896,0.53162086
0.62,-1.7096612,1.8841207,-37.3224,-0.13841905,-0.99037373,-0.04582197,0.577523,0.61590666,0.6371349,1.0690271,2.8008509,-0.00013897604,-1.0,0.1975,0.01726775,-0.19056517,1.5366912,-37.26949,0.582171,0.45604452,0.82562006
0.64,-1.6786908,1.1387316,-36.169018,-0.10768525,-0.99418503,-0.03417856,0.5866439,-2.2752903,0.5491148,0.7587594,1.9879495,0.004064722,-1.0,0.1975,0.015634209,-0.08090122,0.8081591,-36.344364,0.5674674,-2.03438,1.0690271
0.66,-1.6624466,0.4118428,-32.810776,-0.09152204,-0.99580306,-0.022829188,0.5459562,-12.397553,0.46403366,-0.52683705,-1.380313,0.008169168,-1.0,0.1975,0.015935834,-0.010219226,0.1126011,-33.422115,0.44282788,-10.853044,0.7587594
0.68,-1.6601853,-0.25659883,-34.802475,-0.08927002,-0.99600744,-0.013972639,0.32889554,-6.748601,0.41862768,-0.23854375,-0.6249846,0.01216004,-1.0,0.1975,0.016323583,0.054204516,-0.5682932,-34.983025,0.27289397,-5.8813105,-0.52683705
